PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Julius Randle,NYK,46,29,17,35.4,12962.8,2.46,1.37,1.09,3.88,4.09,3.64
Justin Champagnie,WAS,15,3,12,15.7,6707.9,1.27,0.66,0.61,4.5,4.78,4.23
Justin Holiday,DEN,57,37,20,14.7,5905,1.12,0.6,0.51,4.23,4.5,3.96
Justin Jackson,MIN,2,2,0,0.4,105.5,0.02,0.01,0.01,0,0,0
Justin Minaya,POR,34,3,31,11.2,5088.1,0.96,0.5,0.47,4.78,4.85,4.67
Jusuf Nurkić,PHX,75,48,27,27.3,10268.8,1.94,1.04,0.91,4.05,4.25,3.85
KJ Martin,PHI,60,33,27,12.4,4952.5,0.94,0.5,0.44,4.18,4.43,3.92
Kaiser Gates,NOP,1,0,1,7.4,3522,0.67,0.35,0.32,5.29,4.85,4.24
Karl-Anthony Towns,MIN,62,42,20,32.7,11992,2.27,1.17,1.1,3.88,3.95,3.81
Kawhi Leonard,LAC,67,43,24,34.2,13347.1,2.53,1.38,1.15,4.14,4.45,3.82
Keegan Murray,SAC,77,43,34,33.6,13997.3,2.65,1.4,1.25,4.43,4.8,4.09
Keita Bates-Diop,BKN,53,29,24,12.5,4952.4,0.94,0.5,0.44,4.25,4.46,4.04
Keldon Johnson,SAS,68,16,52,29.5,11925.2,2.26,1.22,1.04,4.25,4.61,3.9
Kelly Olynyk,TOR,77,31,46,22.4,8662.8,1.64,0.89,0.75,4.05,4.41,3.69
Kelly Oubre Jr.,PHI,67,39,28,30.3,12373.7,2.34,1.25,1.1,4.32,4.53,4.1
Kendall Brown,IND,15,10,5,4.2,1704.9,0.32,0.16,0.16,4.2,4.31,4.09
Kenneth Lofton Jr.,UTA,21,7,14,9.4,3656.6,0.69,0.37,0.32,4.05,4.37,3.73
Kenrich Williams,OKC,69,49,20,14.9,6096.6,1.15,0.61,0.55,4.32,4.69,3.98
Kentavious Caldwell-Pope,DEN,74,52,22,31.6,11562.2,2.19,1.14,1.05,3.88,4.01,3.75
Keon Ellis,SAC,57,33,24,17.2,7377.6,1.4,0.72,0.68,4.58,4.79,4.39
Keon Johnson,BKN,4,0,4,12.8,5159.3,0.98,0.5,0.47,4.28,4.51,4.05
Kessler Edwards,SAC,54,32,22,5.1,2175.2,0.41,0.22,0.19,4.53,4.95,4.14
Kevin Durant,PHX,74,44,30,37.2,13051.1,2.47,1.33,1.14,3.72,3.97,3.47
Kevin Huerter,SAC,64,37,27,24.4,10465.8,1.98,1.07,0.91,4.59,5.1,4.1
Kevin Knox II,DET,31,4,27,18.1,7361.7,1.39,0.75,0.65,4.3,4.64,3.96
Kevin Love,MIA,55,31,24,16.8,6159.1,1.17,0.63,0.54,3.97,4.26,3.67
Kevon Harris,ORL,2,1,1,3,1284,0.24,0.13,0.11,4.33,5.63,3.22
Kevon Looney,GSW,74,43,31,16.1,6239.6,1.18,0.62,0.56,4.1,4.23,3.96
Keyontae Johnson,OKC,9,7,2,7.4,2907.2,0.55,0.3,0.25,4.24,4.34,3.94
Keyonte George,UTA,74,27,47,26.8,10179.7,1.93,1.08,0.85,3.99,4.29,3.68
Khris Middleton,MIL,55,31,24,27,10610.1,2.01,1.08,0.93,4.16,4.52,3.8
Killian Hayes,DET,42,7,35,24,9547.1,1.81,0.99,0.82,4.19,4.63,3.77
Kira Lewis Jr.,UTA,27,10,17,9.6,4211.8,0.8,0.42,0.37,4.5,4.71,4.32
Klay Thompson,GSW,76,41,35,29.7,11700.9,2.22,1.25,0.97,4.25,4.81,3.7
Kobe Brown,LAC,43,26,17,9.2,3680.5,0.7,0.38,0.32,4.25,4.51,3.97
Kobe Bufkin,ATL,17,8,9,11.5,4653.6,0.88,0.48,0.4,4.24,4.55,3.92
Kobi Simmons,TOR,4,0,4,16.9,7218.8,1.37,0.7,0.67,4.5,4.79,4.24
Kris Dunn,UTA,65,25,40,19,7844.6,1.49,0.79,0.7,4.37,4.55,4.18
Kris Murray,POR,61,11,50,21.7,9116.4,1.73,0.9,0.83,4.45,4.63,4.27
Kristaps Porziņģis,BOS,57,43,14,29.6,10932.9,2.07,1.11,0.96,3.91,4.22,3.61
Kyle Anderson,MIN,79,55,24,22.6,8755.5,1.66,0.88,0.78,4.07,4.35,3.79
Kyle Kuzma,WAS,70,13,57,32.6,13062.9,2.47,1.34,1.14,4.26,4.72,3.82
Kyle Lowry,PHI,59,31,28,28.3,10190.2,1.93,1.06,0.87,3.89,4.22,3.55
Kyrie Irving,DAL,57,38,19,35.1,13114.2,2.48,1.34,1.14,3.97,4.33,3.61
LaMelo Ball,CHA,22,7,15,32.3,13596.6,2.58,1.43,1.14,4.39,4.93,3.85
Lamar Stevens,MEM,38,22,16,14.7,5829.6,1.1,0.59,0.51,4.18,4.47,3.89
Landry Shamet,WAS,46,6,40,15.8,7013.5,1.33,0.73,0.6,4.7,5.33,4.11
Larry Nance Jr.,NOP,61,34,27,19.9,7708.7,1.46,0.78,0.68,4.07,4.35,3.77
Lauri Markkanen,UTA,55,22,33,33.1,13190.4,2.5,1.38,1.11,4.18,4.53,3.82
LeBron James,LAL,70,40,30,35.5,12057,2.28,1.23,1.05,3.68,4.03,3.35
Leaky Black,CHA,26,2,24,10.9,4503.1,0.85,0.46,0.39,4.38,4.62,4.08
Leonard Miller,MIN,17,13,4,3.1,1330.8,0.25,0.13,0.12,4.46,4.69,4.22
Lester Quinones,GSW,36,24,12,10.7,4792.6,0.91,0.5,0.41,4.68,4.98,4.33
Lindell Wigginton,MIL,3,3,0,2.5,1054.7,0.2,0.1,0.1,4.29,3.74,5.05
Lindy Waters III,OKC,38,25,13,7.4,3134.6,0.59,0.33,0.27,4.5,4.86,4.12
Lonnie Walker IV,BKN,57,23,34,17.2,6549.8,1.24,0.67,0.57,4,4.3,3.7
Luguentz Dort,OKC,79,54,25,28.4,11468.3,2.17,1.13,1.04,4.26,4.56,3.98
